category,trial,item1,item2,item3,choice,rt
1,1,9,24,18,24.0,
1,1,9,24,21,9.0,
1,1,9,24,14,24.0,
1,1,9,24,13,13.0,
1,2,9,24,18,24.0,
1,2,9,24,19,24.0,
1,2,9,24,11,24.0,
1,2,9,24,17,24.0,
2,1,35,40,34,40.0,
2,1,35,40,49,35.0,
2,1,35,40,51,35.0,
2,1,35,40,47,40.0,
2,2,54,32,58,32.0,
2,2,54,32,55,32.0,
2,2,54,32,36,54.0,
2,2,54,32,44,32.0,
3,1,68,80,78,68.0,
3,1,68,80,81,80.0,
3,1,68,80,89,68.0,
3,1,68,80,73,80.0,
3,2,79,64,78,79.0,
3,2,79,64,81,79.0,
3,2,79,64,69,64.0,
3,2,79,64,70,64.0,
4,1,119,91,104,119.0,
4,1,119,91,117,91.0,
4,1,119,91,109,119.0,
4,1,119,91,118,119.0,
4,2,94,91,99,91.0,
4,2,94,91,117,94.0,
4,2,94,91,96,94.0,
4,2,94,91,116,91.0,
5,1,136,121,148,121.0,
5,1,136,121,122,121.0,
5,1,136,121,125,136.0,
5,1,136,121,144,121.0,
5,2,128,136,150,136.0,
5,2,128,136,127,128.0,
5,2,128,136,126,128.0,
5,2,128,136,124,128.0,
