category,trial,item1,item2,item3,choice,rt
1,1,22,2,18,2.0,
1,1,22,2,30,2.0,
1,1,22,2,6,2.0,
1,1,22,2,8,2.0,
1,2,22,23,18,22.0,
1,2,22,23,16,22.0,
1,2,22,23,6,22.0,
1,2,22,23,29,29.0,
2,1,52,33,31,33.0,
2,1,52,33,60,52.0,
2,1,52,33,53,33.0,
2,1,52,33,39,33.0,
2,2,54,46,31,46.0,
2,2,54,46,38,54.0,
2,2,54,46,56,46.0,
2,2,54,46,47,54.0,
3,1,79,80,78,80.0,
3,1,79,80,81,80.0,
3,1,79,80,61,79.0,
3,1,79,80,71,80.0,
3,2,85,77,78,77.0,
3,2,85,77,81,77.0,
3,2,85,77,84,77.0,
3,2,85,77,86,77.0,
4,1,113,114,115,114.0,
4,1,113,114,92,113.0,
4,1,113,114,95,114.0,
4,1,113,114,116,114.0,
4,2,106,111,97,106.0,
4,2,106,111,93,106.0,
4,2,106,111,107,106.0,
4,2,106,111,118,111.0,
5,1,130,121,148,121.0,
5,1,130,121,122,121.0,
5,1,130,121,146,130.0,
5,1,130,121,123,121.0,
5,2,121,145,148,145.0,
5,2,121,145,122,121.0,
5,2,121,145,137,145.0,
5,2,121,145,123,121.0,
