category,trial,item1,item2,item3,choice,rt
1,1,24,26,18,26.0,
1,1,24,26,30,26.0,
1,1,24,26,11,26.0,
1,1,24,26,27,24.0,
1,2,9,2,18,2.0,
1,2,9,2,7,9.0,
1,2,9,2,10,2.0,
1,2,9,2,5,2.0,
2,1,33,52,58,33.0,
2,1,33,52,42,33.0,
2,1,33,52,43,43.0,
2,1,33,52,44,33.0,
2,2,32,35,34,32.0,
2,2,32,35,38,32.0,
2,2,32,35,51,32.0,
2,2,32,35,39,32.0,
3,1,77,82,62,82.0,
3,1,77,82,81,77.0,
3,1,77,82,61,82.0,
3,1,77,82,66,77.0,
3,2,63,85,78,63.0,
3,2,63,85,90,63.0,
3,2,63,85,83,63.0,
3,2,63,85,73,63.0,
4,1,119,94,99,119.0,
4,1,119,94,93,119.0,
4,1,119,94,109,119.0,
4,1,119,94,103,119.0,
4,2,94,114,104,114.0,
4,2,94,114,98,114.0,
4,2,94,114,120,114.0,
4,2,94,114,103,94.0,
5,1,147,140,150,140.0,
5,1,147,140,127,147.0,
5,1,147,140,131,147.0,
5,1,147,140,132,147.0,
5,2,140,136,150,140.0,
5,2,140,136,149,140.0,
5,2,140,136,146,140.0,
5,2,140,136,133,140.0,
