category,trial,item1,item2,item3,choice,rt
1,1,20,1,18,1.0,
1,1,20,1,21,1.0,
1,1,20,1,12,20.0,
1,1,20,1,5,5.0,
1,2,9,3,18,9.0,
1,2,9,3,16,9.0,
1,2,9,3,11,3.0,
1,2,9,3,13,9.0,
2,1,48,32,59,32.0,
2,1,48,32,57,32.0,
2,1,48,32,43,32.0,
2,1,48,32,39,39.0,
2,2,48,52,34,48.0,
2,2,48,52,60,48.0,
2,2,48,52,56,48.0,
2,2,48,52,44,52.0,
3,1,68,82,62,82.0,
3,1,68,82,81,82.0,
3,1,68,82,69,82.0,
3,1,68,82,66,82.0,
3,2,74,77,78,77.0,
3,2,74,77,90,77.0,
3,2,74,77,83,77.0,
3,2,74,77,86,74.0,
4,1,112,114,97,114.0,
4,1,112,114,93,112.0,
4,1,112,114,95,114.0,
4,1,112,114,118,114.0,
4,2,108,114,97,114.0,
4,2,108,114,93,114.0,
4,2,108,114,95,114.0,
4,2,108,114,118,118.0,
5,1,145,129,148,145.0,
5,1,145,129,122,145.0,
5,1,145,129,137,145.0,
5,1,145,129,144,129.0,
5,2,147,121,148,121.0,
5,2,147,121,122,121.0,
5,2,147,121,137,147.0,
5,2,147,121,135,147.0,
