category,trial,item1,item2,item3,choice,rt
1,1,20,26,18,26.0,
1,1,20,26,21,26.0,
1,1,20,26,11,20.0,
1,1,20,26,25,20.0,
1,2,3,15,18,15.0,
1,2,3,15,7,15.0,
1,2,3,15,14,15.0,
1,2,3,15,28,15.0,
2,1,35,32,59,32.0,
2,1,35,32,49,35.0,
2,1,35,32,51,35.0,
2,1,35,32,47,32.0,
2,2,32,48,59,32.0,
2,2,32,48,42,48.0,
2,2,32,48,56,48.0,
2,2,32,48,39,32.0,
3,1,82,64,78,82.0,
3,1,82,64,81,82.0,
3,1,82,64,72,64.0,
3,1,82,64,67,82.0,
3,2,64,85,62,85.0,
3,2,64,85,90,64.0,
3,2,64,85,88,64.0,
3,2,64,85,70,70.0,
4,1,94,119,97,119.0,
4,1,94,119,92,119.0,
4,1,94,119,109,119.0,
4,1,94,119,110,119.0,
4,2,119,105,104,119.0,
4,2,119,105,98,105.0,
4,2,119,105,101,105.0,
4,2,119,105,118,105.0,
5,1,128,145,150,128.0,
5,1,128,145,141,128.0,
5,1,128,145,134,145.0,
5,1,128,145,144,128.0,
5,2,136,142,148,142.0,
5,2,136,142,122,142.0,
5,2,136,142,126,142.0,
5,2,136,142,133,142.0,
