category,trial,item1,item2,item3,choice,rt
1,1,20,26,18,26.0,
1,1,20,26,21,26.0,
1,1,20,26,11,26.0,
1,1,20,26,4,26.0,
1,2,15,2,18,2.0,
1,2,15,2,16,15.0,
1,2,15,2,10,15.0,
1,2,15,2,28,15.0,
2,1,48,35,31,35.0,
2,1,48,35,45,48.0,
2,1,48,35,53,48.0,
2,1,48,35,47,47.0,
2,2,40,52,34,40.0,
2,2,40,52,42,52.0,
2,2,40,52,51,40.0,
2,2,40,52,39,40.0,
3,1,77,63,62,77.0,
3,1,77,63,81,77.0,
3,1,77,63,89,77.0,
3,1,77,63,73,77.0,
3,2,82,63,62,63.0,
3,2,82,63,81,63.0,
3,2,82,63,89,82.0,
3,2,82,63,73,82.0,
4,1,112,105,102,112.0,
4,1,112,105,98,112.0,
4,1,112,105,107,112.0,
4,1,112,105,103,105.0,
4,2,114,106,97,106.0,
4,2,114,106,98,114.0,
4,2,114,106,107,114.0,
4,2,114,106,103,114.0,
5,1,129,147,150,129.0,
5,1,129,147,122,129.0,
5,1,129,147,137,147.0,
5,1,129,147,123,129.0,
5,2,129,130,150,129.0,
5,2,129,130,149,129.0,
5,2,129,130,146,129.0,
5,2,129,130,144,129.0,
