category,trial,item1,item2,item3,choice,rt
1,1,3,2,18,2.0,
1,1,3,2,7,2.0,
1,1,3,2,10,2.0,
1,1,3,2,13,2.0,
1,2,20,26,18,20.0,
1,2,20,26,21,26.0,
1,2,20,26,6,26.0,
1,2,20,26,25,26.0,
2,1,41,48,58,41.0,
2,1,41,48,55,41.0,
2,1,41,48,51,51.0,
2,1,41,48,44,44.0,
2,2,50,46,37,46.0,
2,2,50,46,55,50.0,
2,2,50,46,53,50.0,
2,2,50,46,44,50.0,
3,1,79,77,62,77.0,
3,1,79,77,81,77.0,
3,1,79,77,87,79.0,
3,1,79,77,75,75.0,
3,2,63,64,78,64.0,
3,2,63,64,81,63.0,
3,2,63,64,83,63.0,
3,2,63,64,66,63.0,
4,1,113,94,102,94.0,
4,1,113,94,93,94.0,
4,1,113,94,96,113.0,
4,1,113,94,116,94.0,
4,2,106,108,99,106.0,
4,2,106,108,117,108.0,
4,2,106,108,101,101.0,
4,2,106,108,118,118.0,
5,1,139,142,148,142.0,
5,1,139,142,149,142.0,
5,1,139,142,146,142.0,
5,1,139,142,144,139.0,
5,2,136,128,148,136.0,
5,2,136,128,122,128.0,
5,2,136,128,146,128.0,
5,2,136,128,135,136.0,
