category,trial,item1,item2,item3,choice,rt
1,1,3,23,18,23.0,
1,1,3,23,16,3.0,
1,1,3,23,11,23.0,
1,1,3,23,4,23.0,
1,2,26,1,18,1.0,
1,2,26,1,19,26.0,
1,2,26,1,14,26.0,
1,2,26,1,27,26.0,
2,1,52,48,37,48.0,
2,1,52,48,45,48.0,
2,1,52,48,51,48.0,
2,1,52,48,47,47.0,
2,2,35,32,31,32.0,
2,2,35,32,57,32.0,
2,2,35,32,43,32.0,
2,2,35,32,39,32.0,
3,1,76,82,62,82.0,
3,1,76,82,81,82.0,
3,1,76,82,84,82.0,
3,1,76,82,86,82.0,
3,2,68,79,78,79.0,
3,2,68,79,90,79.0,
3,2,68,79,72,68.0,
3,2,68,79,86,68.0,
4,1,105,114,115,105.0,
4,1,105,114,117,105.0,
4,1,105,114,120,105.0,
4,1,105,114,110,105.0,
4,2,108,119,115,119.0,
4,2,108,119,93,119.0,
4,2,108,119,96,119.0,
4,2,108,119,100,108.0,
5,1,145,129,148,129.0,
5,1,145,129,127,129.0,
5,1,145,129,138,145.0,
5,1,145,129,144,145.0,
5,2,142,136,148,142.0,
5,2,142,136,141,142.0,
5,2,142,136,143,142.0,
5,2,142,136,144,142.0,
