category,trial,item1,item2,item3,choice,rt
1,1,20,24,18,24.0,
1,1,20,24,16,24.0,
1,1,20,24,6,20.0,
1,1,20,24,4,24.0,
1,2,22,15,18,15.0,
1,2,22,15,16,15.0,
1,2,22,15,6,22.0,
1,2,22,15,27,15.0,
2,1,40,46,34,40.0,
2,1,40,46,42,40.0,
2,1,40,46,53,40.0,
2,1,40,46,44,40.0,
2,2,40,33,59,33.0,
2,2,40,33,38,40.0,
2,2,40,33,43,40.0,
2,2,40,33,44,33.0,
3,1,64,82,78,82.0,
3,1,64,82,81,82.0,
3,1,64,82,69,64.0,
3,1,64,82,70,82.0,
3,2,77,80,78,77.0,
3,2,77,80,90,80.0,
3,2,77,80,87,80.0,
3,2,77,80,67,80.0,
4,1,119,108,97,119.0,
4,1,119,108,92,119.0,
4,1,119,108,101,101.0,
4,1,119,108,110,108.0,
4,2,113,114,97,114.0,
4,2,113,114,93,114.0,
4,2,113,114,120,114.0,
4,2,113,114,100,113.0,
5,1,136,130,150,130.0,
5,1,136,130,149,130.0,
5,1,136,130,126,136.0,
5,1,136,130,124,124.0,
5,2,142,129,150,142.0,
5,2,142,129,141,129.0,
5,2,142,129,143,142.0,
5,2,142,129,132,142.0,
