category,trial,item1,item2,item3,choice,rt
1,1,15,2,18,15.0,
1,1,15,2,21,15.0,
1,1,15,2,10,15.0,
1,1,15,2,28,15.0,
1,2,2,23,18,2.0,
1,2,2,23,30,23.0,
1,2,2,23,12,2.0,
1,2,2,23,27,2.0,
2,1,40,50,58,40.0,
2,1,40,50,38,50.0,
2,1,40,50,56,40.0,
2,1,40,50,44,40.0,
2,2,41,40,31,40.0,
2,2,41,40,38,41.0,
2,2,41,40,43,40.0,
2,2,41,40,47,41.0,
3,1,85,76,62,85.0,
3,1,85,76,90,76.0,
3,1,85,76,72,76.0,
3,1,85,76,65,76.0,
3,2,79,68,78,79.0,
3,2,79,68,81,68.0,
3,2,79,68,72,68.0,
3,2,79,68,71,68.0,
4,1,108,112,102,112.0,
4,1,108,112,92,108.0,
4,1,108,112,95,108.0,
4,1,108,112,100,100.0,
4,2,112,91,104,112.0,
4,2,112,91,92,112.0,
4,2,112,91,109,91.0,
4,2,112,91,110,110.0,
5,1,129,142,150,142.0,
5,1,129,142,122,129.0,
5,1,129,142,138,142.0,
5,1,129,142,123,142.0,
5,2,130,140,148,140.0,
5,2,130,140,141,140.0,
5,2,130,140,134,140.0,
5,2,130,140,124,124.0,
