category,trial,item1,item2,item3,choice,rt
1,1,20,15,18,15.0,
1,1,20,15,19,15.0,
1,1,20,15,6,15.0,
1,1,20,15,25,15.0,
1,2,26,24,18,26.0,
1,2,26,24,16,26.0,
1,2,26,24,12,26.0,
1,2,26,24,28,26.0,
2,1,33,41,34,33.0,
2,1,33,41,60,33.0,
2,1,33,41,51,33.0,
2,1,33,41,47,33.0,
2,2,35,54,58,54.0,
2,2,35,54,60,54.0,
2,2,35,54,36,54.0,
2,2,35,54,47,35.0,
3,1,77,80,62,80.0,
3,1,77,80,90,77.0,
3,1,77,80,83,77.0,
3,1,77,80,75,80.0,
3,2,85,80,62,85.0,
3,2,85,80,81,85.0,
3,2,85,80,89,85.0,
3,2,85,80,66,80.0,
4,1,105,111,102,105.0,
4,1,105,111,92,105.0,
4,1,105,111,120,105.0,
4,1,105,111,116,105.0,
4,2,114,105,97,114.0,
4,2,114,105,92,114.0,
4,2,114,105,96,114.0,
4,2,114,105,103,105.0,
5,1,121,145,150,145.0,
5,1,121,145,127,145.0,
5,1,121,145,125,121.0,
5,1,121,145,132,132.0,
5,2,139,130,150,130.0,
5,2,139,130,149,139.0,
5,2,139,130,126,130.0,
5,2,139,130,123,123.0,
